username,1_1,1_2,1_3,1_4,1_5,1_6,2_1,2_2,2_3,2_4,2_5,2_6,3_1,3_2,3_3,3_4,3_5,3_6,4_1,4_2,4_3,4_4,4_5,4_6,5_1,5_2,5_3,5_4,5_5,5_6,6_1,6_2,6_3,6_4,6_5,6_6,7_1,7_2,7_3,7_4,7_5,7_6,8_1,8_2,8_3,8_4,8_5,8_6,9_1,9_2,9_3,9_4,9_5,9_6,10_1,10_2,10_3,10_4,10_5,10_6,avg_score
00b6dd4fc7eb817e03708c532016ef30ce564a61,1.25,1.25,0.0,0,9562.5,10000.0,1.5,1.5,0.0,0,8715.229,10000.0,4.5,3.6,0.9,0,6102.483,10000.0,3.5,2.25,1.25,0,6774.554,10000.0,4.333,4.333,0.0,0,2698.413,10000.0,4.333,4.167,0.167,0,8345.583,10000.0,3.375,1.75,1.625,0,4958.323,10000.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,7000.0
00bef8afee8f3c595d535c9c03c490cac1a4f021,4.1,3.5,0.6,0,6698.838,10000.0,3.0,1.667,1.333,0,3462.756,5499.667,3.25,2.417,0.833,0,6793.129,4958.333,3.25,2.75,0.5,0,7166.667,10000.0,2.429,2.429,0.0,0,8571.429,6500.0,2.4,2.1,0.3,0,7064.967,9700.0,3.4,2.6,0.8,0,8033.793,10000.0,3.4,2.1,1.3,0,6489.683,10000.0,6.2,5.4,0.8,0,5325.565,10000.0,0.0,0.0,0.0,0,0.0,0.0,7665.8
01122b3ef7e59b84189e65985305f575d6bdf83c,2.7,2.6,0.1,0,7940.706,10000.0,4.6,4.4,0.2,0,8882.17,10000.0,3.19,3.0,0.19,0,7092.488,1943.341,1.0,1.0,0.0,0,10000.0,10000.0,1.125,1.125,0.0,0,9812.5,10000.0,2.929,2.071,0.857,0,7374.636,10000.0,1.0,0.5,0.5,0,5000.0,1666.667,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5361.001
0134f9f410c65ad0e8c2254a7e9288670e02a183,2.0,1.875,0.125,0,9166.667,10000.0,2.5,1.5,1.0,0,7531.318,8421.053,2.615,2.077,0.538,0,6801.282,9285.714,1.0,1.0,0.0,0,10000.0,10000.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3770.677
013de369c439ab0ead8aa7da64423aa395a8be39,1.0,1.0,0.0,0,10000.0,5000.0,3.333,2.667,0.667,0,4478.15,4023.0,1.5,1.5,0.0,0,6146.5,6285.5,1.0,1.0,0.0,0,10000.0,10000.0,1.5,1.5,0.0,1,1553.5,621.4,1.2,1.2,0.0,0,9933.333,10000.0,2.0,1.643,0.357,0,7961.5,9133.333,1.682,1.409,0.273,0,8343.763,8928.542,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5399.178
014c59c6433fd764a0b08de6ffeb757eaf60aa73,3.0,2.444,0.556,0,7331.426,9000.0,1.667,0.944,0.722,0,4750.0,4583.333,1.667,1.667,0.0,0,1666.667,2500.0,3.067,2.133,0.933,0,6915.175,7300.0,1.0,1.0,0.0,0,10000.0,10000.0,2.4,2.1,0.3,0,7784.524,10000.0,2.0,1.6,0.4,0,8258.3,10000.0,2.9,2.4,0.5,0,6127.778,10000.0,1.6,1.4,0.2,0,6785.65,8000.0,0.0,0.0,0.0,0,0.0,0.0,7138.333
0155f91fe242fe55e1af631b0f0afbe9938b185c,2.0,2.0,0.0,0,5000.0,5000.0,3.5,1.5,2.0,0,666.667,34.091,1.0,1.0,0.0,0,5000.0,2500.0,5.4,4.0,1.4,0,5837.597,10000.0,1.0,1.0,0.0,1,10000.0,2000.0,1.4,1.1,0.3,0,8533.333,10000.0,3.214,2.429,0.786,0,6435.437,9333.333,2.7,2.25,0.45,0,6480.936,8291.667,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4715.909
016f87a7bd87f233a8633fba8a1ca7ef5c3c63c1,4.1,3.7,0.4,0,7329.167,10000.0,7.8,6.8,1.0,0,3978.077,5142.857,2.25,2.25,0.0,0,7406.25,6800.0,2.143,2.143,0.0,0,8166.667,8500.0,5.5,4.6,0.9,0,6892.093,10000.0,8.5,7.0,1.5,0,2529.708,803.571,8.375,6.5,1.875,0,5495.443,7866.6,2.333,1.667,0.667,0,3750.0,2000.0,3.3,1.8,1.5,0,5223.333,10000.0,3.3,3.3,0.0,0,8061.918,10000.0,7111.303
017ec1bbad0d598e5a86ac3bd595b870b6456e61,2.889,2.667,0.222,0,6673.148,8600.0,1.375,1.0,0.375,0,8541.667,5714.286,1.4,1.4,0.0,0,7600.0,4200.0,2.25,2.125,0.125,0,9090.909,10000.0,4.2,3.9,0.3,0,8543.811,10000.0,1.0,1.0,0.0,0,10000.0,9000.0,1.3,1.3,0.0,0,9772.2,10000.0,1.9,1.7,0.2,0,7573.333,10000.0,3.6,3.1,0.5,0,7500.109,9100.0,3.444,2.333,1.111,0,6397.306,9000.0,8561.429
01ad03ec301749c033155fc17e657cc767d447c8,6.3,5.7,0.6,0,6693.665,10000.0,3.7,3.5,0.2,0,7435.0,10000.0,2.0,1.857,0.143,0,5119.048,6125.0,5.0,2.8,2.2,0,5930.536,9090.909,2.4,2.3,0.1,0,8099.619,10000.0,2.0,2.0,0.0,0,10000.0,3333.333,4.333,3.0,1.333,0,4967.381,1126.235,3.5,2.6,0.9,0,8039.049,10000.0,1.0,1.0,0.0,0,10000.0,2000.0,3.0,2.2,0.8,0,5927.348,10000.0,7167.548
020ef1c31cb4751bbfa1a88fba782db3c402e2fa,1.4,1.4,0.0,0,9755.55,10000.0,2.933,2.5,0.433,0,6529.395,3011.364,2.5,2.125,0.375,0,8193.182,10000.0,2.5,1.8,0.7,0,8314.233,10000.0,2.0,2.0,0.0,0,7500.0,10000.0,1.778,1.444,0.333,0,8111.111,10000.0,1.2,1.2,0.0,0,9346.1,8333.333,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,6134.47
